,Episode,Mean,Stddev
0,   0.00000,,
1,   1.00000,   1.77394,   0.00000
2,   2.00000,   1.77394,   0.00000
3,   3.00000,   3.20845,   2.02870
4,   4.00000,   2.84982,   1.86348
5,   5.00000,   2.63464,   1.72141
6,   6.00000,   2.49119,   1.60383
7,   7.00000,   3.00352,   1.94413
8,   8.00000,   2.84982,   1.86348
9,   9.00000,   3.20845,   2.02870
10,  10.00000,   3.06500,   1.97212
11,  11.00000,   3.33886,   2.07019
12,  12.00000,   3.20845,   2.02870
13,  13.00000,   3.09810,   1.98624
14,  14.00000,   3.31091,   2.06207
15,  15.00000,   3.20845,   2.02870
16,  16.00000,   3.11879,   1.99474
17,  17.00000,   3.29283,   2.05659
18,  18.00000,   3.20845,   2.02870
19,  19.00000,   3.35945,   2.07592
20,  20.00000,   3.49086,   2.10287
21,  21.00000,   3.61403,   2.12484
22,  22.00000,   3.74288,   2.15832
23,  23.00000,   3.65728,   2.14873
24,  24.00000,   3.77831,   2.18211
25,  25.00000,   3.90817,   2.23067
26,  26.00000,   3.82609,   2.22552
27,  27.00000,   3.90933,   2.22479
28,  28.00000,   3.98676,   2.22144
29,  29.00000,   4.09360,   2.25482
30,  30.00000,   4.15973,   2.24535
31,  31.00000,   4.22809,   2.24034
32,  32.00000,   4.15140,   2.24602
33,  33.00000,   4.20971,   2.23619
34,  34.00000,   4.13807,   2.24117
35,  35.00000,   4.13018,   2.20940
36,  36.00000,   4.20402,   2.22187
37,  37.00000,   4.25106,   2.20974
38,  38.00000,   4.30890,   2.20866
39,  39.00000,   4.36957,   2.21202
40,  40.00000,   4.43596,   2.22319
41,  41.00000,   4.41981,   2.19828
42,  42.00000,   4.46273,   2.18927
43,  43.00000,   4.40020,   2.20128
44,  44.00000,   4.45448,   2.20504
45,  45.00000,   4.49250,   2.19494
46,  46.00000,   4.53626,   2.19071
47,  47.00000,   4.57213,   2.18089
48,  48.00000,   4.60769,   2.17178
49,  49.00000,   4.64757,   2.16719
50,  50.00000,   4.68813,   2.16411
51,  51.00000,   4.67422,   2.14505
52,  52.00000,   4.70120,   2.13305
53,  53.00000,   4.72883,   2.12220
54,  54.00000,   4.76173,   2.11606
55,  55.00000,   4.79858,   2.11415
56,  56.00000,   4.74457,   2.13313
57,  57.00000,   4.69245,   2.15001
58,  58.00000,   4.71633,   2.13900
59,  59.00000,   4.74666,   2.13333
60,  60.00000,   4.77691,   2.12821
61,  61.00000,   4.72768,   2.14486
62,  62.00000,   4.71372,   2.13029
63,  63.00000,   4.74756,   2.13004
64,  64.00000,   4.70109,   2.14527
65,  65.00000,   4.72227,   2.13543
66,  66.00000,   4.74499,   2.12710
67,  67.00000,   4.70065,   2.14168
68,  68.00000,   4.65761,   2.15487
69,  69.00000,   4.61582,   2.16678
70,  70.00000,   4.63670,   2.15823
71,  71.00000,   4.59638,   2.16936
72,  72.00000,   4.55718,   2.17942
73,  73.00000,   4.51905,   2.18849
74,  74.00000,   4.51084,   2.17478
75,  75.00000,   4.47435,   2.18292
76,  76.00000,   4.46513,   2.16998
77,  77.00000,   4.48599,   2.16350
78,  78.00000,   4.45122,   2.17113
79,  79.00000,   4.41733,   2.17801
80,  80.00000,   4.38429,   2.18419
81,  81.00000,   4.37913,   2.17116
82,  82.00000,   4.34736,   2.17674
83,  83.00000,   4.36820,   2.17180
84,  84.00000,   4.33732,   2.17710
85,  85.00000,   4.30716,   2.18183
86,  86.00000,   4.27770,   2.18604
87,  87.00000,   4.29822,   2.18175
88,  88.00000,   4.29326,   2.16981
89,  89.00000,   4.31327,   2.16574
90,  90.00000,   4.28506,   2.17006
91,  91.00000,   4.30474,   2.16616
92,  92.00000,   4.27723,   2.17028
93,  93.00000,   4.25031,   2.17397
94,  94.00000,   4.22397,   2.17725
95,  95.00000,   4.21956,   2.16618
96,  96.00000,   4.21635,   2.15509
97,  97.00000,   4.19117,   2.15810
98,  98.00000,   4.16651,   2.16076
99,  99.00000,   4.14234,   2.16309
