avg,best
18534.26,15795.0
17598.4,14428.0
17194.52,14428.0
16151.14,13272.0
14785.28,11768.0
13167.18,10701.0
12040.42,9948.0
10971.32,8852.0
10160.4,8631.0
9797.44,8631.0
9550.58,8053.0
9173.84,7966.0
9222.6,7966.0
9111.72,7565.0
9052.08,7565.0
9147.3,7565.0
9187.46,7565.0
8980.32,7565.0
8880.96,7565.0
9005.42,7565.0
9065.98,7565.0
8916.52,7565.0
8909.48,7565.0
8833.8,7565.0
8789.72,7410.0
8743.5,7322.0
8779.98,7322.0
8790.3,7322.0
8658.84,7322.0
8711.6,7322.0
8834.54,7322.0
8749.84,7322.0
8892.92,7322.0
8670.3,7301.0
8803.42,7228.0
8759.62,7228.0
8722.08,7228.0
8743.66,7228.0
8722.44,7228.0
8816.3,7228.0
8715.12,7228.0
8851.36,7228.0
8815.06,7228.0
8942.02,7228.0
8613.82,7228.0
8806.94,7228.0
8707.94,7228.0
8740.38,7228.0
8780.98,7228.0
8705.68,7228.0
8802.1,7228.0
8680.52,7228.0
8860.56,7228.0
8791.14,7228.0
8818.26,7228.0
8809.7,7228.0
8758.84,7228.0
8795.64,7228.0
8672.0,7228.0
8870.0,7228.0
8759.22,7228.0
8723.9,7228.0
8755.1,7228.0
8740.18,7228.0
8782.0,7228.0
8574.34,7228.0
8774.58,7228.0
8616.44,7228.0
8954.38,7228.0
8683.44,7228.0
8723.54,7228.0
8689.62,7228.0
8676.9,7228.0
8783.38,7228.0
8754.48,7228.0
8544.04,7228.0
8676.46,7228.0
8675.04,7228.0
8724.42,7228.0
8679.86,7228.0
8622.92,7228.0
8582.4,7090.0
8745.7,7090.0
8873.12,7090.0
8679.2,7090.0
8690.02,7090.0
8767.74,7090.0
8523.1,7090.0
8591.92,7090.0
8527.48,7090.0
8691.32,7090.0
8562.62,7090.0
8464.6,7090.0
8630.68,7090.0
8575.86,7090.0
8613.7,7090.0
8745.98,7090.0
8729.78,7090.0
8777.72,7090.0
