,best
0,39147.47617364668
1,39051.602370702974
2,38975.202161355766
3,38975.202161355766
4,38367.835483957155
5,38367.835483957155
6,36095.51245023774
7,36095.51245023774
8,36095.51245023774
9,36095.51245023774
10,36095.51245023774
11,36095.51245023774
12,36095.51245023774
13,36095.51245023774
14,36095.51245023774
15,36095.51245023774
16,36095.51245023774
17,36095.51245023774
18,36095.51245023774
19,36095.51245023774
20,36095.51245023774
21,35937.29762395296
22,35457.12900693157
23,35457.12900693157
24,35457.12900693157
25,35457.12900693157
26,35093.07989207853
27,35093.07989207853
28,35093.07989207853
29,35093.07989207853
30,35093.07989207853
31,35093.07989207853
32,35093.07989207853
33,34813.328359491876
34,34719.288565280556
35,34719.288565280556
36,34719.288565280556
37,34501.00080081201
38,33794.86248561726
39,33794.86248561726
40,33753.29174647848
41,33753.29174647848
42,33753.29174647848
43,33426.622244283884
44,33154.72684326417
45,33154.72684326417
46,33154.72684326417
47,33154.72684326417
48,33154.72684326417
49,33154.72684326417
50,33154.72684326417
51,33154.72684326417
52,33154.72684326417
53,33154.72684326417
54,33154.72684326417
55,33154.72684326417
56,33154.72684326417
57,33154.72684326417
58,33154.72684326417
59,33154.72684326417
60,33154.72684326417
61,33154.72684326417
62,33154.72684326417
63,32061.235609350042
64,31917.785680577443
65,31917.75202409781
66,31889.65500988385
67,31889.65500988385
68,31889.65500988385
69,31889.65500988385
70,31379.170528697297
71,31379.170528697297
72,31379.170528697297
73,31379.170528697297
74,31344.04378680568
75,31344.04378680568
76,31344.04378680568
77,31273.398383054384
78,31208.32686277052
79,30830.75146885175
80,30830.75146885175
81,30649.64972429104
82,30649.64972429104
83,30649.64972429104
84,30350.075362176558
85,30350.075362176558
86,30350.075362176558
87,29893.566182189228
88,29817.94331969821
89,29817.94331969821
90,29817.94331969821
91,29817.94331969821
92,29817.94331969821
93,29817.94331969821
94,29817.94331969821
95,29781.237018337455
96,29576.15917975286
97,29576.15917975286
98,29576.15917975286
99,29576.15917975286
