,best
0,44891.24085263053
1,44197.283002444376
2,42519.47379811579
3,42519.47379811579
4,42519.47379811579
5,42519.47379811579
6,41696.29048279945
7,41696.29048279945
8,41696.29048279945
9,41696.29048279945
10,41696.29048279945
11,41696.29048279945
12,41576.49457138817
13,41576.49457138817
14,41576.49457138817
15,41576.49457138817
16,41576.49457138817
17,41576.49457138817
18,41576.49457138817
19,41576.49457138817
20,41576.49457138817
21,41576.49457138817
22,41576.49457138817
23,41576.49457138817
24,41576.49457138817
25,41576.49457138817
26,41576.49457138817
27,41576.49457138817
28,41576.49457138817
29,41494.8066549495
30,41494.8066549495
31,40978.46966309003
32,38913.39446275165
33,38913.39446275165
34,38913.39446275165
35,38913.39446275165
36,38913.39446275165
37,38913.39446275165
38,38913.39446275165
39,38913.39446275165
40,38913.39446275165
41,38913.39446275165
42,38913.39446275165
43,38913.39446275165
44,38913.39446275165
45,38913.39446275165
46,38913.39446275165
47,38740.79143205566
48,38299.71377938962
49,38299.71377938962
50,38299.71377938962
51,38299.71377938962
52,38299.71377938962
53,38299.71377938962
54,38299.71377938962
55,38299.71377938962
56,38299.71377938962
57,38299.71377938962
58,38215.996699061216
59,38025.0876345887
60,37376.003291734014
61,37052.356599581035
62,36348.44201188273
63,36348.44201188273
64,36348.44201188273
65,36348.44201188273
66,36317.08904440351
67,35741.024930602136
68,35741.024930602136
69,35741.024930602136
70,35741.024930602136
71,35741.024930602136
72,35741.024930602136
73,35741.024930602136
74,35741.024930602136
75,35741.024930602136
76,35741.024930602136
77,35741.024930602136
78,35741.024930602136
79,35741.024930602136
80,35667.23753187463
81,34914.21452904075
82,34914.21452904075
83,34767.70218780326
84,34767.70218780326
85,34625.74440833575
86,34625.74440833575
87,34625.74440833575
88,34557.67076968133
89,34557.67076968133
90,34557.67076968133
91,34557.67076968133
92,34557.67076968133
93,34557.67076968133
94,34557.67076968133
95,34269.40006557329
96,34269.40006557329
97,34269.40006557329
98,34269.40006557329
99,34269.40006557329
